Id,Review,Label
85614,wonderful experience,5
85615,"I took this course about 10 years off the college, and it was excellent refresher on the topics I don't use on a daily basis. Absolutely great lecturer, great videos and study materials!",5
85616,This series is really the course you need to take if you feel not comfortable and want to know why(or describe the feelings) when you code in school or work.,5
85617,Not as good as part (a). But still a great class!,4
85618,Incredible continuation of an already amazing course.,5
85619,"Lovely course! The treatment on closures was great, and I really enjoyed the programming exercise.",5
85620,Part B of a 3 part course. One of the best i have taken up on Coursera,5
85621,Excellent course material. Homework is a bit esoteric though.,4
85622,Great course on Racket. Fun writing your own interpreter.,5
85623,"I learned a lot from this course, thank you.",4
85624,"Great course! Learned more about PL, what is interpreter/ compiler language, what is statically typed/ dynamically typed. The homework is very rewarding! Looking forward to Part C.",5
85625,Dan Grossman is a really amazing teacher! Learnt a lot! :),5
85626,Perfect course series for me!,5
85627,AMAZING COURSE!,5
85628,"good course, writing an interpreter in racket was fun",5
85629,"An absolutely high quality class. The instruction is superb, the assignment is on par with top programs at Stanford, MIT, and CMU. Dr. Grossman's lecture is just so clear and energetic that makes learning this hard topic fun.",5
85630,I learn lots of important programming language concepts from here.,5
85631,excelent introduction to pro tools,5
85632,"Except the fact that it was taught well, I believe that pressuring people work with a specific program to pass a course is not helpful. I believe that instead of learning how to handle PRO TOOLS from scratch you should change the course to something more creative like recording different instruments, measuring the studio space, monitors and much more helpful things than advertise and make AVID richer.FriendlyAll the best",1
85633,This is an excellent course! It takes you through all the steps you will need to start producing music with Pro Tools. The instructor (ChrissyTignor-Fisher) gives some awesome tips that will help you make your productions even better.,5
85634,"Excellent course, very well organized and the teacher is really direct and clear, which made it much more effective!",5
85635,"Great! The course is very cool Well thought out, practical and fast, I was able to learn in a very short time all the tools needed to continue learning. Today I'm doing all my recordings in Pro Tools. Many thanks to Chrissy Tignor-Fisher for the brilliant teachings.",5
85636,simple and understanding,5
85637,"Great introduction course. Unfortunately the Protools free version is very weak and limited. After I finished the course there was no motivation to go ahead with so many limitations in the SW. I can't even create more than 3 songs :-( Besides that, the ProTools price is too high to buy it for personal use.",4
85638,I absolutely enjoyed this course! I gained the confidence I was looking for through the positive instructorChrissy Tignor Fisher she really made it fun.,5
85639,"Very interesting course! Although I knew a couple of things before, I also learned a lot. On the other side, I was a bit limited at the moment of doing assignments since I used Pro Tools First. So certain things were only theory for me. However there was a lot of things to learn and I did! Thanks Chrissy!",5
85640,"It's awesome. I thought that I'm quite expirienced Pro Tools user, but I've discovered its very useful functions from this course. Also you'll get here basic knowledge of mixing and mastering in easiest way to understand and you can use that knowledge in any DAW you want, not only Pro Tools.",5
85641,a little too short but good,4
85642,"a little too short, which is good",5
85643,Great Basic course to start you off,5
85644,Very nice course!,5
85645,very helpful,5
85646,"Standart indutrie DAW, but not my favorite. Good performance from the teach! I had many issue with pro Tools first, be sure to get a full vertion and an iLok key from avid before enrolling, will save much stress and trouble.",3
85647,"Is a great course for musicians, producers and composer. It's a great DAW",4
85648,"For a course with the name ""Pro Tool Basics"", I was expecting some specific knowledge about this particular software but what the course really teaches is basic music production things (samples, synthesizers, how to create tracks, how to record audio, compressors, EQs, etc).As I am already a music producer using Logic Pro, I was hoping to learn more about the software itself and its differences in comparison with other DAWs in the market, so I was a little bit disappointed in the end!",2
85649,"Great introduction to Pro Tools even for the seasoned amatuer who's been playing around with DAWs. I now have basic skills with Pro Tools, plus my editing and mixing skills have improved. This course won't make you a pro but it's a great introduction and well worth your time if you're a newbie or have stalled in your amatuer persuits. **thumbs up**",4
